Date,Day of the week,Daily CI Total Consumption,Daily Residential Total Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m?),apparent_temperature_mean (ÁC),dew_point_2m_mean (ÁC)
2020-01-25,7,1368828.9,14631784.3,2.5,94,17.7,98,23.3,1.48,-2,1.6
2020-01-26,1,1284350.7,14916919.3,1.2,92,16.4,95,1.4,2.4,-3.3,0.1
2020-01-27,2,1381305,13561411.6,0.6,78,15.2,97,0,4.23,-4.1,-2.9
2020-01-28,3,1415206.9,13554415.6,-0.5,73,11.8,94,0,3.78,-4.9,-4.8
2020-01-29,4,1449767.3,13882515.7,-4,66,8.7,44,0,10.14,-8.5,-9.5
2020-01-30,5,1484666.1,14366913.9,-4.3,74,12.2,93,0,3.85,-9.2,-8.3
2020-01-31,6,1466694.7,13970351.2,-2.6,74,6.1,93,0.5,4.28,-6.4,-6.6
2020-02-01,7,1386833.9,14877159.3,-1.9,80,9.2,61,1.7,5.78,-6.1,-5
2020-02-02,1,1306057.3,15270594.4,-0.3,91,10.7,89,4.9,2.81,-4.2,-1.7
2020-02-03,2,1345259.7,13005648.3,2.3,77,13.7,83,0.1,7.97,-2,-1.4
2020-02-04,3,1394180.8,13324223.5,0.8,68,14.9,97,0,4.44,-4.1,-4.5
2020-02-05,4,1447628.6,13839237.5,-4.5,55,11.1,79,0.1,10.89,-9.5,-12.5
2020-02-06,5,1492523.1,14456966.3,-4,77,17.6,100,8.9,2.08,-9.6,-7.5
2020-02-07,6,1507013.8,14636525.4,-5.7,75,19.4,89,4.5,4.68,-11.7,-9.5
2020-02-08,7,1470119.5,16142799.1,-11.1,64,8.8,58,0,11.49,-16.1,-16.6
2020-02-09,1,1374940.9,16215371.9,-2.8,82,11,89,3.1,5.86,-7.2,-5.5
2020-02-10,2,1388348.4,13496010,0.1,84,10.9,75,3,8,-4,-2.4
2020-02-11,3,1397815.2,13227117,-2.3,76,9.8,93,0,8.2,-6.6,-6
2020-02-12,4,1416529.4,13400489.1,-1.7,73,15,67,0,10.07,-6.7,-6
2020-02-13,5,1479905.2,14047709.4,-3.9,80,12.9,99,4.3,4.69,-8.7,-6.8
2020-02-14,6,1579291.3,15803977.1,-15.1,60,9.4,27,0,13.6,-20.3,-21.1
2020-02-15,7,1460941.8,15876304.8,-6,63,20.3,60,0.4,11.08,-12.4,-12
2020-02-16,1,1300503.3,14365989.5,0.3,68,16.8,77,0.2,9.9,-4.9,-5
2020-02-17,2,1250669.3,14674261.4,-3.9,69,11.1,52,0,12.93,-8.6,-8.8
2020-02-18,3,1425491.2,13731206,1.5,82,23.2,88,7,4.73,-4.2,-1.4
2020-02-19,4,1453210.2,13863195.4,-2.9,54,16.8,83,0,5.84,-8.6,-11.1
2020-02-20,5,1498959.9,14407942.3,-6.9,54,11.7,52,0,8.07,-12.2,-15
2020-02-21,6,1488429.8,14408291.2,-4.9,52,18.8,0,0,14.43,-11.1,-13.9
2020-02-22,7,1367917.4,14450473.6,0,48,19,18,0,14.32,-5.9,-9.9
2020-02-23,1,1248782.9,14156606.7,2.8,60,17.8,48,0,12.98,-2.5,-4.3
2020-02-24,2,1300197.7,12321221.5,4,71,13.6,67,0,11.04,-0.2,-1
2020-02-25,3,1360051.9,12606001.5,1.9,76,11.4,96,1.5,7.98,-2.2,-1.9
2020-02-26,4,1413709.8,13461228.6,-0.3,80,16.3,99,10.7,2.22,-5.2,-3.4
2020-02-27,5,1475798.1,14266263.9,-4.5,73,29.9,95,6.9,10.04,-12,-8.7
2020-02-28,6,1508015.4,14630653.5,-6.2,71,28.7,81,0.9,12.44,-13.6,-10.7
2020-02-29,7,1450017.7,15820564.4,-9.3,68,10.8,73,0,12.91,-14.4,-14.3
2020-03-01,1,1315682.8,15472084.8,-5.8,72,10.6,35,0.1,15.11,-10.5,-10.1
2020-03-02,2,1353989.3,13251602.5,3.7,85,16.6,85,3.6,3.75,-0.6,1.3
2020-03-03,3,1373558.7,13081916.8,1.5,92,11,79,9,2.94,-2.1,0.4
2020-03-04,4,1364213.5,12769379.6,2.1,70,19.7,36,0.4,12.67,-3.2,-3
2020-03-05,5,1354959.6,12561605,0,70,10.1,35,0,15.84,-4.2,-5.1
2020-03-06,6,1397785.1,13143247.1,0.5,72,19,90,2.3,4.67,-4.9,-4.1
2020-03-07,7,1332490,14123038.7,-2.3,66,12.8,9,0,17.69,-7.1,-7.9
2020-03-08,1,1203849.3,13487447.2,4.6,56,17.7,36,0,17.2,-0.5,-3.7
2020-03-09,2,1229920.2,11277540.5,10.1,55,21.2,77,1.1,15.98,5.2,1.4
2020-03-10,3,1271601.4,11577003.6,6.2,76,21.3,67,6.7,9.09,1.5,2.1
2020-03-11,4,1338794.4,12617227.2,-1,76,11.5,71,0,9.88,-5.4,-4.7
2020-03-12,5,1336600.9,12486337.5,1.7,77,13.9,78,0,14.26,-2.7,-1.9
2020-03-13,6,1325427.4,12553814.2,5.6,63,26.8,58,3.9,13.54,-0.5,-1.5
2020-03-14,7,1278604.1,14084718,1.7,60,15.2,83,0,12.5,-3.3,-5.2
2020-03-15,1,1195016.3,14231298.4,-1.4,59,10.7,14,0,19.46,-5.9,-8.6
2020-03-16,2,1270980.4,13447784.9,-0.6,59,13.8,70,0.2,16.82,-5.6,-7.9
2020-03-17,3,1225719.1,13387104.1,3.3,71,16.8,71,2.7,8.74,-1.6,-2.1
2020-03-18,4,1211866.9,13627057.8,0.2,63,13.5,67,0.4,11.01,-4.7,-6.2
2020-03-19,5,1183674.2,13394011.8,4,82,14,88,1.8,14.09,0,1.1
2020-03-20,6,1138260.7,12933734,7.9,79,27.5,97,4.1,13.3,2.9,4.3
2020-03-21,7,1145517,14848757.8,-3.7,48,13.3,26,0,20.6,-8.9,-13.4
2020-03-22,1,1114053,15238791,-2.6,56,19,61,0,15.96,-8.5,-10.3
2020-03-23,2,1172490.9,14330901.1,1.1,92,12,97,10.7,3.01,-2.7,-0.1
2020-03-24,3,1123928.5,13537113.5,1.7,81,9.5,49,0,17.9,-2,-1.4
2020-03-25,4,1085509.1,13220138.9,3.4,83,12.1,64,0,16.89,-0.2,0.8
2020-03-26,5,1068288.5,13091618.9,5.8,83,14.3,84,0.5,7.61,2.1,3.1
2020-03-27,6,1059446,12825590,3.1,81,8.3,14,0,21.11,0,0
2020-03-28,7,1037716.7,14018321.6,3.8,85,21.7,99,3.4,6.99,-1.2,1.5
2020-03-29,1,993339.9,13598469.3,8.7,82,25,87,11.8,9.86,3.9,5.2
2020-03-30,2,1044733.4,12959272.3,6.8,77,18.1,97,1.8,4.09,2.6,3.1
2020-03-31,3,1060572.4,13165993.5,4.4,89,13.8,79,0.2,7.71,0.8,2.8
2020-04-01,4,1035811.6,12529174.6,5.1,50,11.4,34,0,21.79,1,-4.5
2020-04-02,5,1021385.6,12287710.5,6.8,47,19.5,5,0,22.37,1.5,-4.6
2020-04-03,6,1027519.3,12553390.6,5.7,74,16,56,2.5,11.08,1.5,1.3
2020-04-04,7,975281.3,12965866.2,6.6,87,7.5,66,0,14.94,4.2,4.5
2020-04-05,1,938963.7,12721672.1,7.2,71,13.5,53,1.2,21.88,3.7,1.7
2020-04-06,2,989823.2,12175339.5,5.3,61,11.1,35,0,22.53,1.6,-1.8
2020-04-07,3,986228.9,11994586.7,7.2,58,9.4,77,1.5,16.53,3.8,-0.8
2020-04-08,4,987640.5,12007406.3,8.2,71,9,65,0,18.37,5.4,2.7
2020-04-09,5,1007516.5,12367062.3,5.5,64,21.7,62,9.9,19.82,0.2,-1.7
2020-04-10,6,974986.9,13395189.2,3,55,27.8,58,0.1,18.02,-3.8,-5.5
2020-04-11,7,984497.6,13484627.5,3.2,53,18.2,43,0,13.37,-2.3,-5.7
